fips,unemp,year
20079,4.4,2017
20081,2.7,2017
20083,2.9,2017
20085,3.6,2017
20087,4.1,2017
20089,4.7,2017
20091,3.3,2017
20093,3.3,2017
20095,4.7,2017
20097,2.9,2017
20099,5.7,2017
20101,3.4,2017
20103,4.4,2017
20105,3.8,2017
20107,6.7,2017
20109,2.8,2017
20111,4.2,2017
20113,3.3,2017
20115,4.3,2017
20117,3.2,2017
20119,2.9,2017
20121,4.3,2017
20123,3.6,2017
20125,6.4,2017
20127,4.1,2017
20129,4.1,2017
20131,2.8,2017
20133,7.5,2017
20135,3.8,2017
20137,2.6,2017
20139,4.6,2017
20141,3.7,2017
20143,4,2017
20145,3.6,2017
20147,3.2,2017
20149,3.5,2017
20151,4.3,2017
20153,2.6,2017
20155,4.6,2017
20157,2.9,2017
20159,4.2,2017
20161,3.3,2017
20163,5.2,2017
20165,4.2,2017
20167,4.5,2017
20169,3.8,2017
20171,2.6,2017
20173,4.8,2017
20175,4.6,2017
20177,4.1,2017
20179,2.6,2017
20181,3.5,2017
20183,3.5,2017
20185,4.1,2017
20187,3.1,2017
20189,4.4,2017
20191,4.4,2017
20193,2.9,2017
20195,4.2,2017
20197,3.8,2017
20199,2.9,2017
20201,3.5,2017
20203,2.5,2017
20205,6.4,2017
20207,6.2,2017
20209,5.7,2017
21001,6.6,2017
21003,4.2,2017
21005,4,2017
21007,8.6,2017
21009,4.6,2017
21011,7.2,2017
21013,9,2017
21015,3.8,2017
21017,4.7,2017
21019,8.1,2017
21021,4.9,2017
21023,6,2017
21025,9.4,2017
21027,6,2017
21029,4.1,2017
21031,5.3,2017
21033,5.3,2017
21035,4.5,2017
21037,3.8,2017
21039,5.9,2017
21041,5,2017
21043,10.2,2017
21045,4.6,2017
21047,6,2017
21049,4.7,2017
21051,9.6,2017
21053,7.3,2017
21055,5,2017
21057,5.5,2017
21059,4.5,2017
21061,6.1,2017
21063,10.9,2017
21065,5.7,2017
21067,3.5,2017
21069,5.9,2017
21071,10.9,2017
21073,4,2017
21075,6.8,2017
21077,4.8,2017
21079,4.7,2017
21081,4.9,2017
21083,6,2017
21085,6.4,2017
21087,4.4,2017
21089,8.6,2017
21091,5.4,2017
21093,4.4,2017
21095,12.1,2017
21097,4.6,2017
21099,4.6,2017
21101,4.7,2017
21103,4.1,2017
21105,5.6,2017
21107,5.5,2017
21109,7.5,2017
21111,4.4,2017
21113,3.8,2017
21115,9.6,2017
21117,4.1,2017
21119,11.2,2017
21121,7.9,2017
21123,4.5,2017
21125,6.1,2017
21127,10.4,2017
21129,9.2,2017
21131,13,2017
21133,11.9,2017
21135,9.2,2017
21137,6,2017
21139,7,2017
21141,4.2,2017
21143,5.6,2017
21145,5.7,2017
21147,7.7,2017
21149,4.8,2017
21151,4.1,2017
21153,18.8,2017
21155,4.1,2017
21157,5.6,2017
21159,10.1,2017
21161,6.1,2017
21163,5,2017
21165,8.4,2017
21167,4.7,2017
21169,4.5,2017
21171,4,2017
21173,6.3,2017
21175,7.8,2017
21177,7,2017
21179,4.5,2017
21181,5.4,2017
21183,6.5,2017
21185,3.4,2017
21187,4.1,2017
21189,9.4,2017
21191,4.8,2017
21193,10.5,2017
21195,10.8,2017
21197,7,2017
21199,5.3,2017
21201,5.9,2017
21203,5.9,2017
21205,5.5,2017
21207,8.3,2017
21209,3.7,2017
21211,3.5,2017
21213,4.4,2017
21215,3.8,2017
21217,5.1,2017
21219,4.2,2017
21221,5.6,2017
21223,5.3,2017
21225,6.7,2017
21227,3.9,2017
21229,4.1,2017
21231,7.3,2017
21233,5.9,2017
21235,6.5,2017
21237,9.7,2017
21239,3.2,2017
22001,7.4,2017
22003,6.4,2017
22005,4.9,2017
22007,8.5,2017
22009,7.1,2017
22011,6,2017
22013,7.7,2017
22015,5.4,2017
22017,6.6,2017
22019,4.8,2017
22021,7.6,2017
22023,4.4,2017
22025,9.3,2017
22027,6.7,2017
22029,8.3,2017
22031,7.4,2017
22033,5.1,2017
22035,11.7,2017
22037,5.7,2017
22039,7.4,2017
22041,9.1,2017
22043,7,2017
22045,9.4,2017
22047,6.8,2017
22049,5.7,2017
22051,5.3,2017
22053,6,2017
22055,6.2,2017
22057,6.3,2017
22059,6.6,2017
22061,6.5,2017
22063,5.1,2017
22065,9,2017
22067,9.8,2017
22069,7,2017
22071,5.9,2017
22073,6.1,2017
22075,5.3,2017
22077,6.5,2017
22079,6.1,2017
22081,6.1,2017
22083,7.4,2017
22085,6.9,2017
22087,6.1,2017
22089,5.3,2017
22091,7.6,2017
22093,7.5,2017
22095,6.8,2017
22097,8.1,2017
22099,7.8,2017
22101,9.4,2017
22103,5,2017
22105,6.7,2017
22107,9.9,2017
22109,7,2017
22111,6.5,2017
22113,7.7,2017
22115,7.3,2017
22117,7,2017
22119,8.6,2017
22121,5.3,2017
